TransactionAmount,TransactionHour,TransactionDayOfWeek,IsWeekend,TransactionDistanceKm,CustomerAge,CityPopulation,TransactionCategoryEncoded,IsFraud
140.73,18,5,1,77.605445270873,37.0,530,10,0
5.6,9,6,1,116.55737727625161,84.0,140,12,0
118.27,21,2,0,35.64283870360606,48.0,310,6,0
84.79,16,1,0,51.49172429452204,36.0,4056,0,0
2.33,6,3,0,113.24758455554873,61.0,5438,9,0
7.0,20,0,0,29.49269507276426,54.0,1760,12,0
72.38,2,0,0,106.88575895531682,61.0,1478,2,0
61.97,11,5,1,72.76396466208995,79.0,673342,2,0
65.93,16,5,1,31.486738888140984,50.0,1302,6,0
35.13,15,5,1,84.66198262884178,41.0,20328,6,0
2.38,10,4,0,105.66035299989672,81.0,348,12,0
2.56,18,0,0,50.37394443891929,43.0,328,9,0
1.19,19,5,1,116.82072595453351,35.0,4575,11,0
86.4,4,3,0,24.238813475623253,41.0,760,4,0
80.48,17,3,0,57.383344583990684,39.0,737,0,0
6.87,14,6,1,36.36822910739017,64.0,5451,6,0
46.56,16,0,0,116.75364616934733,47.0,1019,6,0
43.16,17,0,0,94.76178634103232,54.0,2401,6,0
9.07,22,4,0,44.16978347574831,23.0,1512,13,0
8.28,8,4,0,5.079802538856668,64.0,2092,12,0
31.58,5,3,0,46.61343972245873,51.0,964,9,0
6.81,3,4,0,56.413375524018115,67.0,4049,0,0
7.4,15,6,1,85.94818827220752,54.0,1760,13,0
50.41,4,0,0,13.266767131692687,50.0,4074,2,0
2.98,3,6,1,89.5567109384128,64.0,2092,8,0
4.39,2,2,0,64.39493691374942,91.0,2916,11,0
203.01,6,4,0,60.737105302707484,42.0,21134,4,0
43.77,22,4,0,61.4067578240328,67.0,198,5,0
68.9,8,0,0,52.13942650453371,38.0,888,2,0
35.7,14,4,0,71.17598960427802,42.0,3451,5,0
162.71,18,6,1,123.15764257375106,80.0,450,0,0
83.18,16,4,0,131.7834373395399,28.0,3202,1,0
4.07,14,5,1,136.35655606171366,64.0,1443,10,0
32.98,12,2,0,81.32253897170435,35.0,18128,10,0
84.28,15,0,0,34.61826549656226,30.0,2607,6,0
19.86,6,5,1,50.29866802677125,42.0,59744,9,0
53.6,0,3,0,51.82759203829336,36.0,77,3,0
138.65,20,2,0,87.2937911228637,55.0,1368,0,0
6.59,5,0,0,69.36278182552543,51.0,42619,8,0
77.34,11,0,0,102.33074652730856,37.0,341043,2,0
33.75,19,6,1,74.29887817213361,50.0,910148,11,0
1.98,13,4,0,118.38014381040898,60.0,1606,13,0
158.14,7,1,0,76.77441326229105,34.0,525713,4,0
1.89,21,3,0,125.49350434450282,62.0,2317,7,0
6.47,4,6,1,60.50356493966818,87.0,22305,12,0
82.77,7,3,0,85.44391216292082,41.0,1493,4,0
112.97,4,3,0,62.696045241553804,60.0,128,4,0
142.8,6,5,1,29.100826337881188,66.0,51,4,0
